company_id,company_name,indicator_id,category,indicator_name,raw_value,raw_unit,period,business_scope,geography,source_id,source_title,source_page,source_url,source_table_title,source_text,assurance,scope_mismatch,availability,data_confidence,risk_direction,note,target_value,target_unit,target_year,baseline_value,baseline_year,target_source_id
000660,SK하이닉스,E04,E,공정가스 GHG 배출 감소율,52,%,2025,consolidated,Korea,SRC-0014,SK hynix Sustainability Report 2026 (ENG),20,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Process gas GHG reduction achievement,,unknown,False,available,high,higher_is_better,PRISM 목표 대비 달성 실적치,,,,,,
005930,삼성전자,E04,E,PFC 처리효율,97,%,2024,DS,Korea,SRC-0001,Samsung Electronics Sustainability Report 2024 (ENG),21,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2024_ENG.pdf,Process gas treatment efficiency,,unknown,False,available,low,higher_is_better,"주의: SK의 '배출감소율'과 다른 하위지표(처리설비 효율). not_comparable 후보, 팀 확인 필요 | 추가지표: NF3저감률(SiON공정) 25%(2024, SEC-2025 p.24)",,,,,,
005930,삼성전자,E04,E,공정가스처리 감축 기여도,72,%,2025,DS,Korea,SRC-0012,Samsung Electronics Sustainability Report 2026 (ENG),24,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2026_ENG.pdf,Process gas treatment facility contribution,,unknown,False,available,low,higher_is_better,"2025년 DS 감축분(17,035천tCO2e) 중 처리설비 기여 비율, SK 지표와 정의 상이",,,,,,
005930,삼성전자,E05,E,유해물질 유출 건수,0,건,2024,consolidated,global,SRC-0011,Samsung Electronics Sustainability Report 2025 (ENG),74,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2025_ENG.pdf,Discharge of major hazardous substances,,unknown,True,available,high,higher_is_worse,"3개년 누적 0건 | 원문 보고 기간: 2022-2024 누적(3개년 누적 실적) | business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용 | [목표, 정성] SEC-2026 DS부문 대기·수질 오염물질 자연수준 처리(2040, 수치 없음)",,,,,,
005930,삼성전자,E05,E,유해물질 유출 건수,0,건,2025,consolidated,global,SRC-0012,Samsung Electronics Sustainability Report 2026 (ENG),74,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2026_ENG.pdf,Discharge of major hazardous substances,,unknown,True,available,high,higher_is_worse,"3개년 누적 0건, 행25와 교차검증 | 원문 보고 기간: 2023-2025 누적(3개년 누적 실적) | business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용 | [목표, 정성] SEC-2026 DS부문 대기·수질 오염물질 자연수준 처리(2040, 수치 없음)",,,,,,
000660,SK하이닉스,E05,E,환경법규 위반 건수,0,건,2025,consolidated,Korea,SRC-0014,SK hynix Sustainability Report 2026 (ENG),109,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Breach of environmental laws (Korea),,unknown,False,available,medium,higher_is_worse,주의: 삼성의 '유출건수'와 정의 상이(위반건수 vs 유출건수). not_comparable 후보 | 원문 보고 기간: 2022-2025 누적 위반 건수,,,,,,
000660,SK하이닉스,E05,E,대기오염물질 총배출량,315,ton,2025,consolidated,Korea,SRC-0014,SK hynix Sustainability Report 2026 (ENG),39,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Total air pollutant emissions (domestic),,unknown,False,available,medium,higher_is_worse,"2020년 823톤 대비 61.7%감소(baseline 참고). 삼성과 직접 비교불가, not_comparable",,,,,,
005930,삼성전자,S01,S,산업재해율(LTIR),0.033,%,2022,consolidated,global,SRC-0011,Samsung Electronics Sustainability Report 2025 (ENG),65,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2025_ENG.pdf,LTIR,,unknown,True,available,high,higher_is_worse,"business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용 | [목표, 정성] SEC-2025 중대산업재해 Zero + 글로벌 최고수준 LTIR 달성(2030, 수치 없음)",,,,,,
005930,삼성전자,S01,S,산업재해율(LTIR),0.023,%,2023,consolidated,global,SRC-0011,Samsung Electronics Sustainability Report 2025 (ENG),65,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2025_ENG.pdf,LTIR,,unknown,True,available,high,higher_is_worse,"business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용 | [목표, 정성] SEC-2025 중대산업재해 Zero + 글로벌 최고수준 LTIR 달성(2030, 수치 없음)",,,,,,
005930,삼성전자,S01,S,산업재해율(LTIR),0.022,%,2024,consolidated,global,SRC-0012,Samsung Electronics Sustainability Report 2026 (ENG),66,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2026_ENG.pdf,LTIR,,unknown,True,available,high,higher_is_worse,"business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용 | [목표, 정성] SEC-2025 중대산업재해 Zero + 글로벌 최고수준 LTIR 달성(2030, 수치 없음)",,,,,,
